STT	Phân Loại	Mã VTBB/NL	Tên VTBB/NL	Tên Trên Hóa Đơn VTBB/NL	Mã HH	Tên Sản phẩm (HH)
1	Thùng	THI0002	Thùng IDA Chai Pet Vuông 35 450ml-500ml - 44x38.5x19 - Xanh lá			
3	Thùng	THC0003	Thùng DC Chai Pet Vuông 35 450ml-500ml - (47x38.5x19cm) - Trắng viền đen 	NPK Bổ sung Vi lượng Basel NPK 6-6-8 IDA 33	HH0003	GC - II- 13.1 - Lớn Trái Thanh Long (Đỏ) - 22 kg - 1 ([btp],n)
4	Thùng	THC0004	Thùng DC Chai Pet Tròn 43 450ml-500ml - 61.5x38.5x19 - Trắng	Vi lượng AV4	HH0004	GC - II - 24 - Aqua Gold ra bông xoài 1kg -25
5	Thùng	THC0005	Thùng DC Chai Pet Tròn 35 450ml-500ml - (59x37x19.5cm)  - Trắng	Vi lượng AV-US2	HH0005	GC - II - 33.1 - Siêu ra hoa xoài - 1kg - 25
6	Thùng	THI0006	Thùng IDA Chai Nhôm Tròn 240ml x 60 chai - 56x34x18.5 - Xanh lá	Vi lượng AV4	HH0006	GC - II - 64 - Aqua Siêu ra hoa xoài (clr) - 1kg - 25
7	Thùng	THI0007	Thùng IDA Centertaner 12gr x400gói  (42x32x26cm) - Xanh lá	Vi lượng AV4	HH0007	GC - III - 75 - Bio Siêu ra hoa cây có múi - 600 gr - 40
8	Thùng	THI0008	Thùng IDA 16g x 200 gói-HA	Vi lượng AV4-BO633	HH0008	GC - II - 95.1 - AGC - Siêu ra hoa cây có múi - 600 gr - 40
9	Thùng	THI0009	Thùng IDA Chai HDPE tròn cổ 43 500ml - (60x37.5x21cm)- Xanh lá	NPK Bổ sung Vi lượng Basel NPK 6-6-8 IDA 33	HH0009	GC - II - 105.2 - Lớn trái thanh long (Xanh) - 22 kg -1
10	Thùng	THI0010	Thùng IDA Chai HDPE/PAPE tròn cổ 43 250ml - 49.5x30.5x14.5  - Xanh lá	Vi lượng AV6	HH0010	GC - 107 - Nutri Nutri Silitop - 60 ml - 300
11	Thùng	THI0011	Thùng IDA Chai HDPE/PAPE tròn cổ 33 100ml - 51x51x11  - Xanh lá	AnnongManco 80WP	HH0011	GC - I - 207 - Mancozeb Xanh - Xanh Cam - 1kg - 20
12	Thùng	THA0012	Thùng offset Agri plus (kèm lót)	Vi lượng IDA49	HH0012	GC - I - 208 - Lân 86 - 1Kg - 20
13	Thùng	THI0013	Thùng IDA chai HDPE/PAPE tròn cổ 33 100ml (51x25.5x22) - Xanh lá	Acodyl 35WP	HH0013	IDA Global - I - 221.1 - Metalaxyl (drone) - 100gr - 100
14	Thùng	THI0014	Thùng IDA Chai HDPE tròn cổ 42.5 1L x 20 chai - 45x35.5x26.5- Xanh lá	Oxycin 100WP	HH0014	IDA Global - I - 222.2 - Siêu Diệt Vi Khuẩn Thái (Mới) - 25gr - 300
15	Thùng	THC0015	Thùng chung chai HDPE tròn cổ 42.5 1L x 20 chai - 45x35.5x26.5	Chitin 3.6EC	HH0015	IDA Global - I - 223 - Nhện đỏ - Chai nhôm đỏ - 240ml - 60
16	Thùng	THC0016	Thùng dùng chung chai PET tròn cổ 43 450-500ml x 40 chai  (62.5x38.5x20cm) - Nâu	Chitin 3.6EC	HH0016	IDA Global - I - 223.1 - Nhện đỏ - Chai nhôm đỏ - 240ml - 60
17	Thùng	THI0017	Thùng IDA 100 (300) gói - 44.5x37.5x21 - Xanh lá	Chitin 3.6EC	HH0017	IDA Global - I - 223.1 - Nhện đỏ - Chai nhôm đỏ - 240ml - 60
