 Default Work In Progress Warehouse , Podrazumevano skladište nedovršene proizvodnje ,
 Is Child Table, Zavisna tabela,
 Is Subcontracted, Podugovoreno,
 Skip Material Transfer, Preskoči prenos materijala,
%  Delivered,% Isporučeno,
% Amount Billed,% Fakturisan iznos,
% Billed,% Fakturisano,
% Complete Method,% Metod izvršenja,
% Completed,% Završeno,
% Delivered,% Isporučeno,
% Installed,% Instalirano,
% Ordered,% Poručeno,
% Picked,% Prikupljeno,
% Process Loss,% Gubitak u procesu,
% Produced,% Proizvedeno,
% Progress,% Napredak,
% Raw Material Received,% Primljene sirovine,
% Raw Material Returned,% Vraćene sirovine,
% Received,% Primljeno,
% Returned,% Vraćeno,
% of materials billed against this Sales Order,% od materijala fakturisanih u odnosu na ovu prodajnu porudžbinu,
% of materials delivered against this Pick List,% isporučenog materijala prema ovoj listi za odabir,
% of materials delivered against this Sales Order,% od materijala isporučenim prema ovoj prodajnoj porudžbini,
(Daily Yield * No of Units Produced) / 100,(Dnevni prinos * broj proizvedenih jedinica) / 100,
(Good Units Produced / Total Units Produced) × 100,(Ispravno proizvedeno jedinica / Ukupno proizvedeno jedinica) × 100,
(Hour Rate / 60) * Actual Operation Time,(Satnica / 60) * Stvarno vreme operacije,
(Purchase Order + Material Request + Actual Expense),(Nabavna porudžbina + Zahtev za nabavku + Stvarni trošak),
(Total Workstation Time / Manufacturing Time) * 60,(Ukupno vreme radne stanice / vreme proizvodnje) * 60,
(including),(uključujući),
* Will be calculated in the transaction.,* Biće izračunato u transakciji.,
1 Loyalty Points = How much base currency?,1 lojalti poen = Kolika je vrednost u osnovnoj valuti?,
1 hr,1 čas,
2 Yearly,Dva puta godišnje,
3 Yearly,Tri puta godišnje,
30 mins,30 minuta,
6 hrs,6 časova,
"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<br>
<h4>Napomena</h4>
<ul>
<li>
Možete koristiti <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja oznake</a> u poljima<b>Predmet</b> i <b>Tekst</b> za dinamičke vrednosti.
</li><li>
    Sva polja u ovoj vrsti DocType su dostupni pod <b>doc</b> objektom, a sva polja kupca kome će imejl biti poslat dostupna su pod  <b>kupac</b> objektom.
</li></ul>
<h4> Primeri</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Naslov</b>:<br><br><pre><code>Izvod stavki za {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Tekst</b>: <br><br>
<pre><code>Zdravo {{ customer.customer_name }},<br>u prilogu je izveštaj o računima od {{ doc.from_date }} do {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->",
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">Drugi detalji</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">Nisu pronađene bankarske transakcije</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3> Sve dimenzije u centimetrima </h3>
</div>",
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>","<h3>O paketu proizvoda</h3>

<p>Agregatna grupa <b>stavki</b> u drugoj <b>stavci</b>. Ovo je korisno ukoliko grupišete određene <b>stavke</b> u paket i održavate stanje zalihe zapakovanih <b>stavki</b>, a ne agregatne <b>stavke</b>.</p>
<p>Paketne <b>stavke</b> će imati <code>Stavka zaliha</code> kao <b>Ne</b> i <code>Stavka prodaje</code> kao <b>Da</b>.</p>
<h4>Primer:</h4>
<p>Ako prodajte laptopove i računare odvojeno i imate posebnu cenu ako kupac nabavi obe stavke, onda će laptop + ranac biti novi paket proizvoda</p>",
"<h3>Currency Exchange Settings Help</h3>
<p>There are 3 variables that could be used within the endpoint, result key and in values of the parameter.</p>
<p>Exchange rate between {from_currency} and {to_currency} on {transaction_date} is fetched by the API.</p>
<p>Example: If your endpoint is exchange.com/2021-08-01, then, you will have to input exchange.com/{transaction_date}</p>","<h3>Pomoć za podešavanje konverzija valute</h3>
<p>Postoje 3 promenljive koje se mogu koristiti unutar endpoint-a, rezultirajućeg ključa i u vrednostima parametara.</p>
<p>Devizni kurs između {from_currency} i {to_currency} na {transaction_date} se preuzima putem API-ja.</p>
<p>Primer: Ukoliko je Vaš endpoint exchange.com/2024-08-01, onda je neophodno da unesete exchange.com/{transaction_date}</p>",
"<h4>Body Text and Closing Text Example</h4>

<div>We have noticed that you have not yet paid invoice {{sales_invoice}} for {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}. This is a friendly reminder that the invoice was due on {{due_date}}. Please pay the amount due immediately to avoid any further dunning cost.</div>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your template are the fields in the document. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Primer rezimea i zaključka</h4>

<div>Primili smo obaveštenje da još niste uplatili fakturu {{sales_invoice}} za {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}. Obaveštavamo Vas da je faktura dospela {{due_date}}. Molimo Vas da bez odlaganja izvršite plaćanje dospelog iznosa kako biste izbegli dodatne troškove po osnovu opomene.</div>

<h4>Kako dobiti nazive polja</h4>

<p>Nazive polja koja možete koristiti u šablonu su polja u dokumentu. Možete saznati koja su polja u bilo kojem dokumentu putem Podešavanje &gt; Prilagodite pregled forme i odabirom vrste dokumenta (npr. Izlazna faktura)</p>

<h4>Šabloni</h4>

<p>Šabloni se prave koristeći Jinja jezik. Da biste saznali više o Jinja jeziku,<a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">pročitajte ovu dokumentaciju</a></p>",
"<h4>Contract Template Example</h4>

<pre>Contract for Customer {{ party_name }}

-Valid From : {{ start_date }} 
-Valid To : {{ end_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Primer šablona ugovora</h4>

<pre>Kupoprodajni ugovor sa {{ party_name }}

-Važi od: {{ start_date }} 
-Važi do : {{ end_date }}
</pre>

<h4>Kako dobiti nazive polja</h4>

<p>Nazive polja koja možete dobiti u šablonu ugovora su polja u ugovoru za koji pravite šablon. Možete saznati koja su polja u bilo kojem dokumentu putem Podešavanje &gt; Prilagodite pregled forme i odabirom vrste dokumenta (npr. Ugovor)</p>

<h4>Šabloni</h4>

<p>Šabloni se prave koristeći Jinja jezik. Da biste saznali više o Jinja jeziku, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">pročitajte ovu dokumentaciju</a></p>",
"<h4>Standard Terms and Conditions Example</h4>

<pre>Delivery Terms for Order number {{ name }}

-Order Date : {{ transaction_date }} 
-Expected Delivery Date : {{ delivery_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>Primer standardnih uslova i odredbi</h4>

<pre>Uslovi isporuke za narudžbinu {{ name }}

-Datum narudžbine : {{ transaction_date }} 
-Očekivani datum isporuke : {{ delivery_date }}
</pre>

<h4>Kako dobiti nazive polja</h4>

<p>Nazive polja koja možete koristiti u šablonu imejla su polja u dokumentu iz kojeg šaljete imejl. Možete saznati koja su polja u bilo kojem dokumentu putem Podešavanje &gt; Prilagodite pregled forme i odabirom vrste dokumenta (e.g. Izlazna faktura)</p>

<h4>Šabloni</h4>

<p>Šabloni se prave koristeći Jinja jezik. Da biste saznali više o Jinja jeziku, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">pročitajte ovu dokumentaciju</a></p>",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">ili</h5>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Podešavanje broja računa</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Slovima</label>",
