 Default Work In Progress Warehouse , Standard Pågående Arbete Lager ,
 Is Child Table,Är Undertabell,
 Is Subcontracted, Är Underkontrakterad,
 Skip Material Transfer, Hoppa över Material Överföring,
%  Delivered,% Levererad,
% Amount Billed,% Fakturerad,
% Billed,% Fakturerad,
% Complete Method,% Klar Sätt,
% Completed,% Klar,
% Delivered,% Levererad,
% Installed,% Installerad,
% Ordered,% Order,
% Picked,% Plockad,
% Process Loss,% Process Förlust,
% Produced,% Producerad,
% Progress,% Framsteg,
% Raw Material Received,% Råmaterial Mottaget,
% Raw Material Returned,% Råmaterial Returnerat,
% Received,% Mottagen,
% Returned,% Återlämnad,
% of materials billed against this Sales Order,% av material fakturerad mot denna Försäljning Order,
% of materials delivered against this Pick List,% av material levererad mot denna Plocklista,
% of materials delivered against this Sales Order,% av materia levererad mot denna Försäljning Order,
(Daily Yield * No of Units Produced) / 100,(Daglig Produktion * Antal Producerade Enheter) / 100,
(Good Units Produced / Total Units Produced) × 100,(Producerade Enheter / Totalt Producerade Enheter) × 100,
(Hour Rate / 60) * Actual Operation Time,(Timpris/60) * Faktisk Åtgärd Tid,
(Purchase Order + Material Request + Actual Expense),(Inköp Order + Material Begäran + Faktisk Kostnad),
(Total Workstation Time / Manufacturing Time) * 60,(Total Arbetsplatstid / Produktionstid) * 60,
(including),(inkluderar),
* Will be calculated in the transaction.,* Kommer att beräknas i transaktion.,
1 Loyalty Points = How much base currency?,1 Lojalitet Poäng = Motsvarande Belopp?,
1 hr,1 timme,
2 Yearly,Var Annan År,
3 Yearly,Var Tredje År,
30 mins,30 minuter,
6 hrs,6 timmar,
